segment_id,group_id,dataset_id,site,view,data_type,label,file_path,file_name,file_stem,start_sec,end_sec,ch_start,ch_end,original_fs,source_label_csv
0,utah_2023__RAW_20230719_014658.140,utah_2023,utah_2023,utah_2023,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_014658.140.sgy,RAW_20230719_014658.140.sgy,RAW_20230719_014658.140,1.0,3.0,400,805,1000.0,utah_2023_labels_2s.csv
1,utah_2023__RAW_20230719_014658.140,utah_2023,utah_2023,utah_2023,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_014658.140.sgy,RAW_20230719_014658.140.sgy,RAW_20230719_014658.140,1.0,3.0,850,1255,1000.0,utah_2023_labels_2s.csv
2,utah_2023__RAW_20230719_014658.140,utah_2023,utah_2023,utah_2023,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_014658.140.sgy,RAW_20230719_014658.140.sgy,RAW_20230719_014658.140,3.0,5.0,1300,1705,1000.0,utah_2023_labels_2s.csv
3,utah_2023__RAW_20230719_014658.140,utah_2023,utah_2023,utah_2023,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_014658.140.sgy,RAW_20230719_014658.140.sgy,RAW_20230719_014658.140,3.0,5.0,1750,2155,1000.0,utah_2023_labels_2s.csv
4,utah_2023__RAW_20230719_014658.140,utah_2023,utah_2023,utah_2023,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_014658.140.sgy,RAW_20230719_014658.140.sgy,RAW_20230719_014658.140,3.0,5.0,2200,2605,1000.0,utah_2023_labels_2s.csv
5,utah_2023__RAW_20230719_014658.140,utah_2023,utah_2023,utah_2023,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_014658.140.sgy,RAW_20230719_014658.140.sgy,RAW_20230719_014658.140,3.0,5.0,2650,3055,1000.0,utah_2023_labels_2s.csv
6,utah_2023__RAW_20230719_015052.760,utah_2023,utah_2023,utah_2023,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_015052.760.sgy,RAW_20230719_015052.760.sgy,RAW_20230719_015052.760,1.0,3.0,400,805,1000.0,utah_2023_labels_2s.csv
7,utah_2023__RAW_20230719_015052.760,utah_2023,utah_2023,utah_2023,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_015052.760.sgy,RAW_20230719_015052.760.sgy,RAW_20230719_015052.760,1.0,3.0,850,1255,1000.0,utah_2023_labels_2s.csv
8,utah_2023__RAW_20230719_015052.760,utah_2023,utah_2023,utah_2023,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_015052.760.sgy,RAW_20230719_015052.760.sgy,RAW_20230719_015052.760,3.0,5.0,1300,1705,1000.0,utah_2023_labels_2s.csv
9,utah_2023__RAW_20230719_015052.760,utah_2023,utah_2023,utah_2023,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_015052.760.sgy,RAW_20230719_015052.760.sgy,RAW_20230719_015052.760,3.0,5.0,1750,2155,1000.0,utah_2023_labels_2s.csv
10,utah_2023__RAW_20230719_015052.760,utah_2023,utah_2023,utah_2023,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_015052.760.sgy,RAW_20230719_015052.760.sgy,RAW_20230719_015052.760,3.0,5.0,2200,2605,1000.0,utah_2023_labels_2s.csv
11,utah_2023__RAW_20230719_015052.760,utah_2023,utah_2023,utah_2023,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_015052.760.sgy,RAW_20230719_015052.760.sgy,RAW_20230719_015052.760,3.0,5.0,2650,3055,1000.0,utah_2023_labels_2s.csv
12,utah_2023__RAW_20230719_015140.420,utah_2023,utah_2023,utah_2023,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_015140.420.sgy,RAW_20230719_015140.420.sgy,RAW_20230719_015140.420,1.0,3.0,400,805,1000.0,utah_2023_labels_2s.csv
13,utah_2023__RAW_20230719_015140.420,utah_2023,utah_2023,utah_2023,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_015140.420.sgy,RAW_20230719_015140.420.sgy,RAW_20230719_015140.420,1.0,3.0,850,1255,1000.0,utah_2023_labels_2s.csv
14,utah_2023__RAW_20230719_021049.840,utah_2023,utah_2023,utah_2023,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_021049.840.sgy,RAW_20230719_021049.840.sgy,RAW_20230719_021049.840,1.0,3.0,400,805,1000.0,utah_2023_labels_2s.csv
15,utah_2023__RAW_20230719_021049.840,utah_2023,utah_2023,utah_2023,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_021049.840.sgy,RAW_20230719_021049.840.sgy,RAW_20230719_021049.840,1.0,3.0,850,1255,1000.0,utah_2023_labels_2s.csv
16,utah_2023__RAW_20230719_021049.840,utah_2023,utah_2023,utah_2023,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_021049.840.sgy,RAW_20230719_021049.840.sgy,RAW_20230719_021049.840,2.0,4.0,400,805,1000.0,utah_2023_labels_2s.csv
17,utah_2023__RAW_20230719_021757.860,utah_2023,utah_2023,utah_2023,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_021757.860.sgy,RAW_20230719_021757.860.sgy,RAW_20230719_021757.860,1.0,3.0,400,805,1000.0,utah_2023_labels_2s.csv
18,utah_2023__RAW_20230719_021757.860,utah_2023,utah_2023,utah_2023,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_021757.860.sgy,RAW_20230719_021757.860.sgy,RAW_20230719_021757.860,1.0,3.0,850,1255,1000.0,utah_2023_labels_2s.csv
19,utah_2023__RAW_20230719_021757.860,utah_2023,utah_2023,utah_2023,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_021757.860.sgy,RAW_20230719_021757.860.sgy,RAW_20230719_021757.860,2.0,4.0,400,805,1000.0,utah_2023_labels_2s.csv
20,utah_2023__RAW_20230719_021757.860,utah_2023,utah_2023,utah_2023,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_021757.860.sgy,RAW_20230719_021757.860.sgy,RAW_20230719_021757.860,3.0,5.0,400,805,1000.0,utah_2023_labels_2s.csv
21,utah_2023__RAW_20230719_021757.860,utah_2023,utah_2023,utah_2023,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_021757.860.sgy,RAW_20230719_021757.860.sgy,RAW_20230719_021757.860,3.0,5.0,1300,1705,1000.0,utah_2023_labels_2s.csv
22,utah_2023__RAW_20230719_021757.860,utah_2023,utah_2023,utah_2023,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_021757.860.sgy,RAW_20230719_021757.860.sgy,RAW_20230719_021757.860,3.0,5.0,1750,2155,1000.0,utah_2023_labels_2s.csv
23,utah_2023__RAW_20230719_021757.860,utah_2023,utah_2023,utah_2023,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_021757.860.sgy,RAW_20230719_021757.860.sgy,RAW_20230719_021757.860,3.0,5.0,2200,2605,1000.0,utah_2023_labels_2s.csv
