dataset_id,site,view,file_path,file_name,file_stem,ext,group_id,original_fs,ch_start,ch_end
utah_2023,utah_2023,utah_2023,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_014658.140.sgy,RAW_20230719_014658.140.sgy,RAW_20230719_014658.140,.sgy,utah_2023__RAW_20230719_014658.140,1000.0,400,805
utah_2023,utah_2023,utah_2023,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_015052.760.sgy,RAW_20230719_015052.760.sgy,RAW_20230719_015052.760,.sgy,utah_2023__RAW_20230719_015052.760,1000.0,400,805
utah_2023,utah_2023,utah_2023,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_015140.420.sgy,RAW_20230719_015140.420.sgy,RAW_20230719_015140.420,.sgy,utah_2023__RAW_20230719_015140.420,1000.0,400,805
utah_2023,utah_2023,utah_2023,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_021049.840.sgy,RAW_20230719_021049.840.sgy,RAW_20230719_021049.840,.sgy,utah_2023__RAW_20230719_021049.840,1000.0,400,805
utah_2023,utah_2023,utah_2023,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_021757.860.sgy,RAW_20230719_021757.860.sgy,RAW_20230719_021757.860,.sgy,utah_2023__RAW_20230719_021757.860,1000.0,400,805
utah_2023,utah_2023,utah_2023,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_022127.800.sgy,RAW_20230719_022127.800.sgy,RAW_20230719_022127.800,.sgy,utah_2023__RAW_20230719_022127.800,1000.0,400,805
utah_2023,utah_2023,utah_2023,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_022252.220.sgy,RAW_20230719_022252.220.sgy,RAW_20230719_022252.220,.sgy,utah_2023__RAW_20230719_022252.220,1000.0,400,805
utah_2023,utah_2023,utah_2023,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_023754.260.sgy,RAW_20230719_023754.260.sgy,RAW_20230719_023754.260,.sgy,utah_2023__RAW_20230719_023754.260,1000.0,400,805
utah_2023,utah_2023,utah_2023,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_025343.140.sgy,RAW_20230719_025343.140.sgy,RAW_20230719_025343.140,.sgy,utah_2023__RAW_20230719_025343.140,1000.0,400,805
utah_2023,utah_2023,utah_2023,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_025648.380.sgy,RAW_20230719_025648.380.sgy,RAW_20230719_025648.380,.sgy,utah_2023__RAW_20230719_025648.380,1000.0,400,805
utah_2023,utah_2023,utah_2023,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_025836.060.sgy,RAW_20230719_025836.060.sgy,RAW_20230719_025836.060,.sgy,utah_2023__RAW_20230719_025836.060,1000.0,400,805
utah_2023,utah_2023,utah_2023,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_025842.080.sgy,RAW_20230719_025842.080.sgy,RAW_20230719_025842.080,.sgy,utah_2023__RAW_20230719_025842.080,1000.0,400,805
utah_2023,utah_2023,utah_2023,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_030249.180.sgy,RAW_20230719_030249.180.sgy,RAW_20230719_030249.180,.sgy,utah_2023__RAW_20230719_030249.180,1000.0,400,805
utah_2023,utah_2023,utah_2023,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_030929.320.sgy,RAW_20230719_030929.320.sgy,RAW_20230719_030929.320,.sgy,utah_2023__RAW_20230719_030929.320,1000.0,400,805
utah_2023,utah_2023,utah_2023,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_030953.040.sgy,RAW_20230719_030953.040.sgy,RAW_20230719_030953.040,.sgy,utah_2023__RAW_20230719_030953.040,1000.0,400,805
utah_2023,utah_2023,utah_2023,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_031236.560.sgy,RAW_20230719_031236.560.sgy,RAW_20230719_031236.560,.sgy,utah_2023__RAW_20230719_031236.560,1000.0,400,805
utah_2023,utah_2023,utah_2023,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_031715.160.sgy,RAW_20230719_031715.160.sgy,RAW_20230719_031715.160,.sgy,utah_2023__RAW_20230719_031715.160,1000.0,400,805
utah_2023,utah_2023,utah_2023,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_031752.460.sgy,RAW_20230719_031752.460.sgy,RAW_20230719_031752.460,.sgy,utah_2023__RAW_20230719_031752.460,1000.0,400,805
utah_2023,utah_2023,utah_2023,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_032930.400.sgy,RAW_20230719_032930.400.sgy,RAW_20230719_032930.400,.sgy,utah_2023__RAW_20230719_032930.400,1000.0,400,805
utah_2023,utah_2023,utah_2023,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_032951.960.sgy,RAW_20230719_032951.960.sgy,RAW_20230719_032951.960,.sgy,utah_2023__RAW_20230719_032951.960,1000.0,400,805
utah_2023,utah_2023,utah_2023,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_034045.220.sgy,RAW_20230719_034045.220.sgy,RAW_20230719_034045.220,.sgy,utah_2023__RAW_20230719_034045.220,1000.0,400,805
utah_2023,utah_2023,utah_2023,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_034908.440.sgy,RAW_20230719_034908.440.sgy,RAW_20230719_034908.440,.sgy,utah_2023__RAW_20230719_034908.440,1000.0,400,805
utah_2023,utah_2023,utah_2023,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_034956.660.sgy,RAW_20230719_034956.660.sgy,RAW_20230719_034956.660,.sgy,utah_2023__RAW_20230719_034956.660,1000.0,400,805
utah_2023,utah_2023,utah_2023,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_035325.460.sgy,RAW_20230719_035325.460.sgy,RAW_20230719_035325.460,.sgy,utah_2023__RAW_20230719_035325.460,1000.0,400,805
